MonthYear,GDP
1/12/2002,99.12883099
1/1/2003,99.10449022
1/2/2003,99.09615586
1/3/2003,99.1096508
1/4/2003,99.14219866
1/5/2003,99.18884412
1/6/2003,99.24741635
1/7/2003,99.32241646
1/8/2003,99.42017982
1/9/2003,99.54279779
1/10/2003,99.68031537
1/11/2003,99.81708965
1/12/2003,99.93705153
1/1/2004,100.0290237
1/2/2004,100.0864807
1/3/2004,100.1092921
1/4/2004,100.1079097
1/5/2004,100.0948917
1/6/2004,100.0781957
1/7/2004,100.055374
1/8/2004,100.0207733
1/9/2004,99.97320599
1/10/2004,99.924492
1/11/2004,99.89208315
1/12/2004,99.89190195
1/1/2005,99.93014635
1/2/2005,100.007598
1/3/2005,100.1212398
1/4/2005,100.2631414
1/5/2005,100.4225587
1/6/2005,100.5861238
1/7/2005,100.7369157
1/8/2005,100.8584788
1/9/2005,100.9399535
1/10/2005,100.9834732
1/11/2005,100.9967956
1/12/2005,100.9887951
1/1/2006,100.9673168
1/2/2006,100.938511
1/3/2006,100.9073594
1/4/2006,100.8789545
1/5/2006,100.8606427
1/6/2006,100.8642035
1/7/2006,100.9075589
1/8/2006,101.0076524
1/9/2006,101.17071
1/10/2006,101.3785163
1/11/2006,101.6018549
1/12/2006,101.8110086
1/1/2007,101.9855377
1/2/2007,102.1118197
1/3/2007,102.1833087
1/4/2007,102.2044666
1/5/2007,102.1861611
1/6/2007,102.1448623
1/7/2007,102.1048997
1/8/2007,102.0901808
1/9/2007,102.1160973
1/10/2007,102.1798332
1/11/2007,102.2674656
1/12/2007,102.3584986
1/1/2008,102.4288884
1/2/2008,102.4534905
1/3/2008,102.4102292
1/4/2008,102.2877334
1/5/2008,102.0782358
1/6/2008,101.7762299
1/7/2008,101.3628327
1/8/2008,100.8242717
1/9/2008,100.1574741
1/10/2008,99.38416086
1/11/2008,98.54708329
1/12/2008,97.71354198
1/1/2009,96.98326965
1/2/2009,96.45179652
1/3/2009,96.16821131
1/4/2009,96.10254972
1/5/2009,96.18315762
1/6/2009,96.34041997
1/7/2009,96.5399148
1/8/2009,96.77147709
1/9/2009,97.03523957
1/10/2009,97.32506474
1/11/2009,97.63385263
1/12/2009,97.95683228
1/1/2010,98.29333579
1/2/2010,98.64469297
1/3/2010,99.01090729
1/4/2010,99.38598468
1/5/2010,99.75556801
1/6/2010,100.0936849
1/7/2010,100.3597011
1/8/2010,100.5103465
1/9/2010,100.5170298
1/10/2010,100.3911212
1/11/2010,100.1638478
1/12/2010,99.87509402
1/1/2011,99.56930104
1/2/2011,99.29146251
1/3/2011,99.08443926
1/4/2011,98.9843568
1/5/2011,99.01546745
1/6/2011,99.17706548
1/7/2011,99.42022756
1/8/2011,99.68171234
1/9/2011,99.9119322
1/10/2011,100.1018899
1/11/2011,100.2597099
1/12/2011,100.3895284
1/1/2012,100.4723504
1/2/2012,100.4809536
1/3/2012,100.3981304
1/4/2012,100.2399515
1/5/2012,100.0377192
1/6/2012,99.82513566
1/7/2012,99.62869576
1/8/2012,99.47021246
1/9/2012,99.36814173
1/10/2012,99.33612608
1/11/2012,99.3833964
1/12/2012,99.51001401
1/1/2013,99.69619147
1/2/2013,99.91550346
1/3/2013,100.1437289
1/4/2013,100.3653332
1/5/2013,100.5697596
1/6/2013,100.7480963
1/7/2013,100.8908824
